Receiver,Sender,external_exists,external_id,ywp_id,ywp_year,actorID,bc_id,conflictID,bc_name,bwd_id,bwd_name,country1,country2,locationid1,locationid2,external_nameid,external_alleged,external_type_X,external_type_Y,external_type_L,external_type_W,external_type_M,external_type_T,external_type_$,external_type_I,external_type_O,external_type_U,external_type_text,external_type_code
Harakat-i Inqilab-i Islami-yi Afghanistan ,Saudi Arabia,1,31,8954,1982,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,670,0,0,0,0,1,0,0,1,0,0,0,"Weapons, Funding/Economic Support",W$
Harakat-i Inqilab-i Islami-yi Afghanistan ,United States,1,32,8954,1982,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,2,0,0,0,0,1,1,0,1,0,0,0,"Weapons, Materiel/Logistics, Funding/Economic Support",WM$
Harakat-i Inqilab-i Islami-yi Afghanistan ,Pakistan,1,33,8954,1982,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,770,0,0,0,0,0,1,1,0,0,0,0,"Materiel/Logistics, Training/Expertise",MT
Harakat-i Inqilab-i Islami-yi Afghanistan ,China,1,34,8954,1982,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,710,0,0,0,0,1,0,0,0,0,0,0,Weapons,W
Harakat-i Inqilab-i Islami-yi Afghanistan ,Saudi Arabia,1,35,8961,1983,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,670,0,0,0,0,1,0,0,1,0,0,0,"Weapons, Funding/Economic Support",W$
Harakat-i Inqilab-i Islami-yi Afghanistan ,United States,1,36,8961,1983,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,2,0,0,0,0,1,1,0,1,0,0,0,"Weapons, Materiel/Logistics, Funding/Economic Support",WM$
Harakat-i Inqilab-i Islami-yi Afghanistan ,Pakistan,1,37,8961,1983,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,770,0,0,0,0,0,1,1,0,0,0,0,"Materiel/Logistics, Training/Expertise",MT
Harakat-i Inqilab-i Islami-yi Afghanistan ,China,1,38,8961,1983,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,710,0,0,0,0,1,0,0,0,0,0,0,Weapons,W
Harakat-i Inqilab-i Islami-yi Afghanistan ,Saudi Arabia,1,39,8968,1986,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,670,0,0,0,0,1,0,0,1,0,0,0,"Weapons, Funding/Economic Support",W$
Harakat-i Inqilab-i Islami-yi Afghanistan ,United States,1,40,8968,1986,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,2,0,0,0,0,1,1,0,1,0,0,0,"Weapons, Materiel/Logistics, Funding/Economic Support",WM$
Harakat-i Inqilab-i Islami-yi Afghanistan ,Pakistan,1,41,8968,1986,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,770,0,0,0,0,0,1,1,0,0,0,0,"Materiel/Logistics, Training/Expertise",MT
Harakat-i Inqilab-i Islami-yi Afghanistan ,China,1,42,8968,1986,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,710,0,0,0,0,1,0,0,0,0,0,0,Weapons,W
Harakat-i Inqilab-i Islami-yi Afghanistan ,United Kingdom,1,43,8968,1986,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,200,0,0,0,0,1,0,0,0,0,0,0,Weapons,W
Harakat-i Inqilab-i Islami-yi Afghanistan ,Saudi Arabia,1,44,8993,1987,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,670,0,0,0,0,1,0,0,1,0,0,0,"Weapons, Funding/Economic Support",W$
Harakat-i Inqilab-i Islami-yi Afghanistan ,United States,1,45,8993,1987,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,2,0,0,0,0,1,1,0,1,0,0,0,"Weapons, Materiel/Logistics, Funding/Economic Support",WM$
Harakat-i Inqilab-i Islami-yi Afghanistan ,Pakistan,1,46,8993,1987,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,770,0,0,0,0,0,1,1,0,0,0,0,"Materiel/Logistics, Training/Expertise",MT
Harakat-i Inqilab-i Islami-yi Afghanistan ,China,1,47,8993,1987,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,710,0,0,0,0,1,0,0,0,0,0,0,Weapons,W
Harakat-i Inqilab-i Islami-yi Afghanistan ,United Kingdom,1,48,8993,1987,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,200,0,0,0,0,1,0,0,0,0,0,0,Weapons,W
Harakat-i Inqilab-i Islami-yi Afghanistan ,Saudi Arabia,1,49,9057,1988,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,670,0,0,0,0,1,0,0,1,0,0,0,"Weapons, Funding/Economic Support",W$
Harakat-i Inqilab-i Islami-yi Afghanistan ,United States,1,50,9057,1988,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,2,0,0,0,0,1,1,0,1,0,0,0,"Weapons, Materiel/Logistics, Funding/Economic Support",WM$
Harakat-i Inqilab-i Islami-yi Afghanistan ,Pakistan,1,51,9057,1988,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,770,0,0,0,0,0,1,1,0,0,0,0,"Materiel/Logistics, Training/Expertise",MT
Harakat-i Inqilab-i Islami-yi Afghanistan ,China,1,52,9057,1988,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,710,0,0,0,0,1,0,0,0,0,0,0,Weapons,W
Harakat-i Inqilab-i Islami-yi Afghanistan ,United Kingdom,1,53,9057,1988,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,200,0,0,0,0,1,0,0,0,0,0,0,Weapons,W
Hizb-i Islami-yi Afghanistan,Saudi Arabia,1,159,8916,1980,1141,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,670,0,0,0,0,1,0,0,1,0,0,0,"Weapons, Funding/Economic Support",W$
Hizb-i Islami-yi Afghanistan,United States,1,160,8916,1980,1141,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,2,0,0,0,0,1,1,0,1,0,0,0,"Weapons, Materiel/Logistics, Funding/Economic Support",WM$
Hizb-i Islami-yi Afghanistan,Pakistan,1,161,8916,1980,1141,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,770,0,0,0,0,0,1,1,0,0,0,0,"Materiel/Logistics, Training/Expertise",MT
Hizb-i Islami-yi Afghanistan,Egypt,1,162,8916,1980,1141,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,651,0,0,0,0,1,1,1,0,0,0,0,"Weapons, Materiel/Logistics, Training/Expertise",WMT
Hizb-i Islami-yi Afghanistan,China,1,163,8916,1980,1141,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,710,0,0,0,0,1,0,0,0,0,0,0,Weapons,W
Hizb-i Islami-yi Afghanistan,Iran,1,164,8916,1980,1141,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,630,0,0,0,0,1,0,0,0,0,0,0,Weapons,W
Hizb-i Islami-yi Afghanistan,Saudi Arabia,1,165,8924,1981,1141,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,670,0,0,0,0,1,0,0,1,0,0,0,"Weapons, Funding/Economic Support",W$
Hizb-i Islami-yi Afghanistan,United States,1,166,8924,1981,1141,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,2,0,0,0,0,1,1,0,1,0,0,0,"Weapons, Materiel/Logistics, Funding/Economic Support",WM$
Hizb-i Islami-yi Afghanistan,Pakistan,1,167,8924,1981,1141,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,770,0,0,0,0,0,1,1,0,0,0,0,"Materiel/Logistics, Training/Expertise",MT
Hizb-i Islami-yi Afghanistan,Egypt,1,168,8924,1981,1141,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,651,0,0,0,0,1,1,1,0,0,0,0,"Weapons, Materiel/Logistics, Training/Expertise",WMT
Hizb-i Islami-yi Afghanistan,China,1,169,8924,1981,1141,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,710,0,0,0,0,1,0,0,0,0,0,0,Weapons,W
Hizb-i Islami-yi Afghanistan,Saudi Arabia,1,170,8935,1984,1141,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,670,0,0,0,0,1,0,0,1,0,0,0,"Weapons, Funding/Economic Support",W$
Hizb-i Islami-yi Afghanistan,United States,1,171,8935,1984,1141,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,2,0,0,0,0,1,1,0,1,0,0,0,"Weapons, Materiel/Logistics, Funding/Economic Support",WM$
Hizb-i Islami-yi Afghanistan,Pakistan,1,172,8935,1984,1141,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,770,0,0,0,0,0,1,1,0,0,0,0,"Materiel/Logistics, Training/Expertise",MT
Hizb-i Islami-yi Afghanistan,China,1,173,8935,1984,1141,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,710,0,0,0,0,1,0,0,0,0,0,0,Weapons,W
Hizb-i Islami-yi Afghanistan,Saudi Arabia,1,174,8942,1985,1141,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,670,0,0,0,0,1,0,0,1,0,0,0,"Weapons, Funding/Economic Support",W$
Hizb-i Islami-yi Afghanistan,United States,1,175,8942,1985,1141,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,2,0,0,0,0,1,1,0,1,0,0,0,"Weapons, Materiel/Logistics, Funding/Economic Support",WM$
Hizb-i Islami-yi Afghanistan,Pakistan,1,176,8942,1985,1141,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,770,0,0,0,0,0,1,1,0,0,0,0,"Materiel/Logistics, Training/Expertise",MT
Hizb-i Islami-yi Afghanistan,China,1,177,8942,1985,1141,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,710,0,0,0,0,1,0,0,0,0,0,0,Weapons,W
Hizb-i Islami-yi Afghanistan,United Kingdom,1,178,8942,1985,1141,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,200,0,0,0,0,1,0,0,0,0,0,0,Weapons,W
Hizb-i Islami-yi Afghanistan,Saudi Arabia,1,179,8951,1986,1141,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,670,0,0,0,0,1,0,0,1,0,0,0,"Weapons, Funding/Economic Support",W$
Hizb-i Islami-yi Afghanistan,United States,1,180,8951,1986,1141,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,2,0,0,0,0,1,1,0,1,0,0,0,"Weapons, Materiel/Logistics, Funding/Economic Support",WM$
Hizb-i Islami-yi Afghanistan,Pakistan,1,181,8951,1986,1141,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,770,0,0,0,0,0,1,1,0,0,0,0,"Materiel/Logistics, Training/Expertise",MT
Hizb-i Islami-yi Afghanistan,China,1,182,8951,1986,1141,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,710,0,0,0,0,1,0,0,0,0,0,0,Weapons,W
Hizb-i Islami-yi Afghanistan,United Kingdom,1,183,8951,1986,1141,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,200,0,0,0,0,1,0,0,0,0,0,0,Weapons,W
Hizb-i Islami-yi Afghanistan,Saudi Arabia,1,184,8958,1987,1141,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,670,0,0,0,0,1,0,0,1,0,0,0,"Weapons, Funding/Economic Support",W$
Hizb-i Islami-yi Afghanistan,United States,1,185,8958,1987,1141,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,2,0,0,0,0,1,1,0,1,0,0,0,"Weapons, Materiel/Logistics, Funding/Economic Support",WM$
Hizb-i Islami-yi Afghanistan,Pakistan,1,186,8958,1987,1141,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,770,0,0,0,0,0,1,1,0,0,0,0,"Materiel/Logistics, Training/Expertise",MT
Hizb-i Islami-yi Afghanistan,China,1,187,8958,1987,1141,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,710,0,0,0,0,1,0,0,0,0,0,0,Weapons,W
Hizb-i Islami-yi Afghanistan,United Kingdom,1,188,8958,1987,1141,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,200,0,0,0,0,1,0,0,0,0,0,0,Weapons,W
Hizb-i Islami-yi Afghanistan,Saudi Arabia,1,189,8965,1988,1141,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,670,0,0,0,0,1,0,0,1,0,0,0,"Weapons, Funding/Economic Support",W$
Hizb-i Islami-yi Afghanistan,United States,1,190,8965,1988,1141,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,2,0,0,0,0,1,1,0,1,0,0,0,"Weapons, Materiel/Logistics, Funding/Economic Support",WM$
Hizb-i Islami-yi Afghanistan,Pakistan,1,191,8965,1988,1141,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,770,0,0,0,0,0,1,1,0,0,0,0,"Materiel/Logistics, Training/Expertise",MT
Hizb-i Islami-yi Afghanistan,China,1,192,8965,1988,1141,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,710,0,0,0,0,1,0,0,0,0,0,0,Weapons,W
Hizb-i Islami-yi Afghanistan,United Kingdom,1,193,8965,1988,1141,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,200,0,0,0,0,1,0,0,0,0,0,0,Weapons,W
Hizb-i Islami-yi Afghanistan,Pakistan,1,194,8974,1989,1141,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,770,0,0,0,0,0,1,1,0,0,0,0,"Materiel/Logistics, Training/Expertise",MT
Hizb-i Islami-yi Afghanistan,United States,1,195,8974,1989,1141,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,2,0,0,0,0,1,0,0,1,0,0,0,"Weapons, Funding/Economic Support",W$
Hizb-i Islami-yi Afghanistan,Saudi Arabia,1,196,8974,1989,1141,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,670,0,0,0,0,1,0,0,1,0,0,0,"Weapons, Funding/Economic Support",W$
Hizb-i Islami-yi Afghanistan,United States,1,197,9055,1990,1141,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,2,0,0,0,0,1,1,0,1,0,0,0,"Weapons, Materiel/Logistics, Funding/Economic Support",WM$
Hizb-i Islami-yi Afghanistan,Pakistan,1,198,9055,1990,1141,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,770,0,0,0,0,0,1,1,0,0,0,0,"Materiel/Logistics, Training/Expertise",MT
Hizb-i Islami-yi Afghanistan,Saudi Arabia,1,199,9055,1990,1141,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,670,0,0,0,0,1,0,0,1,0,0,0,"Weapons, Funding/Economic Support",W$
Hizb-i Islami-yi Afghanistan,Pakistan,1,200,4791,1991,1141,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,770,0,0,0,0,0,1,1,0,0,0,0,"Materiel/Logistics, Training/Expertise",MT
Hizb-i Islami-yi Afghanistan,United States,1,201,4791,1991,1141,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,2,0,0,0,0,1,1,0,1,0,0,0,"Weapons, Materiel/Logistics, Funding/Economic Support",WM$
Hizb-i Islami-yi Afghanistan,Saudi Arabia,1,202,4791,1991,1141,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,670,0,0,0,0,1,0,0,1,0,0,0,"Weapons, Funding/Economic Support",W$
Hizb-i Islami-yi Afghanistan,Pakistan,1,203,4920,1992,1141,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,770,0,0,0,0,0,1,1,0,0,0,0,"Materiel/Logistics, Training/Expertise",MT
Hizb-i Islami-yi Afghanistan,United States,1,204,4920,1992,1141,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,2,0,0,0,0,1,0,0,1,0,0,0,"Weapons, Funding/Economic Support",W$
Hizb-i Islami-yi Afghanistan,Saudi Arabia,1,205,4920,1992,1141,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,670,0,0,0,0,1,0,0,1,0,0,0,"Weapons, Funding/Economic Support",W$
Hizb-i Islami-yi Afghanistan ,Saudi Arabia,1,213,8260,1982,1141,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,670,0,0,0,0,1,0,0,1,0,0,0,"Weapons, Funding/Economic Support",W$
Hizb-i Islami-yi Afghanistan ,United States,1,214,8260,1982,1141,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,2,0,0,0,0,1,1,0,1,0,0,0,"Weapons, Materiel/Logistics, Funding/Economic Support",WM$
Hizb-i Islami-yi Afghanistan ,Pakistan,1,215,8260,1982,1141,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,770,0,0,0,0,0,1,1,0,0,0,0,"Materiel/Logistics, Training/Expertise",MT
Hizb-i Islami-yi Afghanistan ,China,1,216,8260,1982,1141,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,710,0,0,0,0,1,0,0,0,0,0,0,Weapons,W
Hizb-i Islami-yi Afghanistan ,Saudi Arabia,1,217,8619,1983,1141,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,670,0,0,0,0,1,0,0,1,0,0,0,"Weapons, Funding/Economic Support",W$
Hizb-i Islami-yi Afghanistan ,United States,1,218,8619,1983,1141,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,2,0,0,0,0,1,1,0,1,0,0,0,"Weapons, Materiel/Logistics, Funding/Economic Support",WM$
Hizb-i Islami-yi Afghanistan ,Pakistan,1,219,8619,1983,1141,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,770,0,0,0,0,0,1,1,0,0,0,0,"Materiel/Logistics, Training/Expertise",MT
Hizb-i Islami-yi Afghanistan ,China,1,220,8619,1983,1141,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,710,0,0,0,0,1,0,0,0,0,0,0,Weapons,W
